City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Shushtar,IR,32.0455,48.8567,107.53,13,42,3.98,scattered clouds
206,Bambanglipuro,ID,-7.95,110.2833,75.7,92,67,4.09,broken clouds
207,Nuuk,GL,64.1835,-51.7216,48.81,71,20,6.91,few clouds
208,Lumphat,KH,13.4878,106.9816,71.74,99,100,2.35,overcast clouds
209,Nanortalik,GL,60.1432,-45.2371,44.8,90,45,8.34,scattered clouds
210,Saskylakh,RU,71.9167,114.0833,43.18,71,100,6.53,overcast clouds
211,Yar-Sale,RU,66.8333,70.8333,56.95,80,100,13.51,overcast clouds
212,Antofagasta,CL,-23.65,-70.4,58.28,74,5,5.86,clear sky
213,Kysyl-Syr,RU,63.8986,122.7617,57.42,74,100,4.72,overcast clouds
214,East London,ZA,-33.0153,27.9116,64.06,82,97,5.3,overcast clouds
215,Hasan Abdal,PK,30.4333,72.7,85.91,59,94,10.47,overcast clouds
216,Bonham,US,33.5773,-96.1783,100.67,31,40,6.91,scattered clouds
217,Raga,SS,8.4596,25.678,70.77,95,100,3.96,light rain
218,Bonthe,SL,7.5264,-12.505,76.15,88,84,10.31,moderate rain
219,Cherskiy,RU,68.75,161.3,58.78,62,97,8.52,overcast clouds
220,Kifri,IQ,34.6959,44.9661,93.13,23,0,12.35,clear sky
221,Hirara,JP,24.8,125.2833,85.1,71,92,3.53,overcast clouds
222,Durban,ZA,-29.8579,31.0292,66.02,92,39,1.99,scattered clouds
223,Nuevo Progreso,MX,23.1667,-97.95,96.55,48,5,16.67,clear sky
224,Katsuura,JP,35.1333,140.3,80.94,85,60,19.51,broken clouds
225,Santa Rosa,PH,14.3122,121.1114,80.58,89,86,1.95,overcast clouds
226,Japura,ID,-0.3167,102.35,78.1,87,95,2.46,overcast clouds
227,Marataizes,BR,-21.0433,-40.8244,72.36,60,100,23.15,overcast clouds
228,Port Elizabeth,ZA,-33.918,25.5701,57.09,100,100,3.44,mist
229,Olafsvik,IS,64.8945,-23.7142,50.52,80,18,10.78,few clouds
230,Hambantota,LK,6.1241,81.1185,78.73,86,100,19.06,overcast clouds
231,Aleksandrovskiy Zavod,RU,50.9237,117.9374,57.63,69,100,2.75,overcast clouds
232,Vila,PT,42.0304,-8.1588,62.71,74,0,1.72,light rain
233,Gunnedah,AU,-30.9833,150.25,52.11,84,100,2.08,light rain
234,Mnogovershinnyy,RU,53.9353,139.9242,53.4,99,100,2.01,overcast clouds
235,Nantucket,US,41.2835,-70.0995,73.54,94,75,9.22,broken clouds
236,Akdepe,TM,42.0551,59.3788,75.29,37,0,9.69,clear sky
237,Baykalsk,RU,51.5058,104.1469,58.89,74,88,4.47,overcast clouds
238,Ziro,IN,27.6333,93.8333,60.75,96,83,1.25,broken clouds
239,Dubbo,AU,-32.25,148.6167,51.93,100,100,9.22,light rain
240,Kangasala,FI,61.4638,24.076,64.33,70,33,4.54,scattered clouds
241,Kiruna,SE,67.8557,20.2251,49.12,66,100,19.57,overcast clouds
242,Eenhana,NA,-17.4667,16.3333,63.09,14,36,6.4,scattered clouds
243,Bairiki,KI,1.3292,172.9752,82.4,83,20,8.05,few clouds
244,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,76.3,23,0,6.93,clear sky
245,Keningau,MY,5.3378,116.1602,71.6,98,80,1.43,broken clouds
246,Yumen,CN,40.2833,97.2,77.83,30,0,16.78,clear sky
247,Vila Velha,BR,-20.3297,-40.2925,75.15,77,0,13.8,clear sky
248,Hamilton,US,39.1834,-84.5333,86.22,59,40,8.05,scattered clouds
249,Hasaki,JP,35.7333,140.8333,79.29,83,19,24.92,few clouds
250,Lorengau,PG,-2.0226,147.2712,79.66,81,65,5.26,broken clouds
251,Geraldton,AU,-28.7667,114.6,48.61,81,0,12.66,clear sky
252,Provideniya,RU,64.3833,-173.3,48.36,100,100,4.47,fog
253,Taraz,KZ,42.9,71.3667,64.81,52,0,8.95,clear sky
254,Bilibino,RU,68.0546,166.4372,62.01,66,100,5.14,overcast clouds
255,Newport,GB,51.5877,-2.9984,78.69,55,1,8.3,clear sky
256,Luwuk,ID,-0.9516,122.7875,77.34,88,99,1.48,overcast clouds
257,Clacton-On-Sea,GB,51.7897,1.156,72.36,77,0,4.0,clear sky
258,Severobaykalsk,RU,55.65,109.3167,50.16,85,11,1.77,few clouds
259,Sorland,NO,67.667,12.6934,51.66,81,92,25.95,overcast clouds
260,Husavik,IS,66.0449,-17.3389,51.01,77,97,3.18,overcast clouds
261,Isangel,VU,-19.55,169.2667,71.96,58,5,14.34,clear sky
262,Raudeberg,NO,61.9875,5.1352,57.87,94,100,10.22,overcast clouds
263,Kamen-Rybolov,RU,44.7481,132.0403,63.09,83,43,6.38,scattered clouds
264,Khash,IR,28.2211,61.2158,74.86,19,4,4.0,clear sky
265,Haapiti,PF,-17.5667,-149.8667,82.13,73,0,14.83,clear sky
266,Komsomolskiy,UZ,40.4272,71.7189,75.92,41,24,4.61,few clouds
267,Upernavik,GL,72.7868,-56.1549,42.12,79,100,9.98,overcast clouds
268,Tura,IN,25.5198,90.2201,73.26,94,26,4.83,scattered clouds
269,Ossora,RU,59.2353,163.0719,58.44,83,17,4.56,few clouds
270,Qui Nhon,VN,13.7667,109.2333,78.28,79,95,3.44,overcast clouds
271,Ewa Beach,US,21.3156,-158.0072,85.95,59,40,18.41,scattered clouds
272,Ballina,AU,-28.8667,153.5667,53.78,99,100,5.3,overcast clouds
273,Esperance,AU,-33.8667,121.9,52.41,73,88,8.41,overcast clouds
274,Marquette,US,46.5333,-87.6335,70.77,54,0,7.72,clear sky
275,Yertsevo,RU,60.7966,40.086,60.3,66,100,9.08,overcast clouds
276,Aykhal,RU,66.0,111.5,44.96,96,100,19.42,light rain
277,Port Lincoln,AU,-34.7333,135.8667,53.46,80,89,17.05,overcast clouds
278,San Jose,US,37.3394,-121.895,88.09,51,20,13.8,few clouds
279,Fortuna,US,40.5982,-124.1573,70.66,78,75,9.22,broken clouds
280,Novita,CO,4.9551,-76.6053,79.02,91,96,3.0,overcast clouds
281,San Patricio,US,28.017,-97.5169,98.17,42,100,6.58,overcast clouds
282,Karaton,ID,-6.3424,106.1045,74.12,94,21,1.03,few clouds
283,Kidodi,TZ,-7.6036,37.0044,68.58,68,59,1.14,broken clouds
284,Barcelos,PT,41.5388,-8.6151,71.92,86,0,0.94,clear sky
285,Vorobyevka,RU,50.6451,40.9245,70.93,66,26,14.34,scattered clouds
286,Bandarbeyla,SO,9.4942,50.8122,76.21,81,100,28.16,overcast clouds
287,Kolvereid,NO,64.8655,11.6047,52.83,84,100,14.79,light rain
288,Tiznit,MA,29.5833,-9.5,72.9,65,10,1.25,clear sky
289,Oranjemund,NA,-28.55,16.4333,55.04,93,100,0.85,overcast clouds
290,Inongo,CD,-1.95,18.2667,74.86,49,100,5.61,overcast clouds
291,Colac,AU,-38.3333,143.5833,47.17,95,100,4.03,light rain
292,Araouane,ML,18.9048,-3.5265,100.62,25,1,4.94,clear sky
293,Vostochnyy,RU,55.8167,37.8667,67.98,61,5,3.27,clear sky
294,Payson,US,40.0444,-111.7321,91.09,60,77,13.04,broken clouds
295,Nyandoma,RU,61.669,40.1991,59.86,68,100,10.04,overcast clouds
296,Santa Barbara,US,34.7333,-120.0343,75.76,44,0,6.91,clear sky
297,Altay,CN,47.8667,88.1167,65.34,39,2,6.02,clear sky
298,Sisimiut,GL,66.9395,-53.6735,43.61,81,93,7.14,overcast clouds
299,Jiuquan,CN,39.7432,98.5174,79.92,51,0,3.22,clear sky
300,Constitucion,CL,-35.3333,-72.4167,53.49,69,0,7.18,clear sky
301,Tarbagatay,RU,51.4803,107.3602,52.48,86,8,5.41,clear sky
302,Tandalti,SD,13.0167,31.8667,76.17,81,79,10.92,broken clouds
303,Xiangxiang,CN,27.7333,112.5333,80.87,70,57,4.38,broken clouds
304,Kirakira,SB,-10.4544,161.9205,79.25,85,99,8.1,heavy intensity rain
305,Tiksi,RU,71.6872,128.8694,39.92,96,100,12.01,overcast clouds
306,Tautira,PF,-17.7333,-149.15,77.61,77,17,15.21,few clouds
307,Tucupita,VE,9.0622,-62.051,82.02,84,92,3.71,overcast clouds
308,Anloga,GH,5.7947,0.8973,74.3,88,99,11.81,overcast clouds
309,Ugep,NG,5.8086,8.0812,72.34,97,100,5.3,heavy intensity rain
310,Vardo,NO,70.3705,31.1107,55.38,76,75,14.97,light intensity shower rain
311,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,88,40,16.11,scattered clouds
312,Reading,GB,51.4562,-0.9711,77.38,47,0,4.61,clear sky
313,Sept-Iles,CA,50.2001,-66.3821,68.52,83,75,9.22,broken clouds
314,Lavras,BR,-21.2453,-44.9997,60.51,49,0,7.76,clear sky
315,Qingdao,CN,36.0986,120.3719,76.6,100,75,4.47,mist
316,Tokur,RU,53.1333,132.9,46.47,98,100,2.89,overcast clouds
317,Buraydah,SA,26.326,43.975,99.05,18,11,10.8,few clouds
318,Kuala Terengganu,MY,5.3302,103.1408,80.55,94,20,0.0,few clouds
319,Ponta Delgada,PT,37.7333,-25.6667,74.12,78,20,5.75,few clouds
320,Barkot,IN,30.8167,78.2,67.69,76,100,4.23,overcast clouds
