City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
198,Mayskiy,RU,80.01,overcast clouds,47.6931,40.1025,Dio Lakrua
200,Port-Gentil,GA,73.36,few clouds,-0.7193,8.7815,Fengshui Residence
202,Kavieng,PG,80.91,light rain,-2.5744,150.7967,Nusa Island Retreat
204,Kendari,ID,74.53,broken clouds,-3.945,122.4989,Hotel Wixel
206,Bambanglipuro,ID,75.7,broken clouds,-7.95,110.2833,Puri Brata
208,Lumphat,KH,71.74,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
218,Bonthe,SL,76.15,moderate rain,7.5264,-12.505,Bonthe Holiday Village
224,Katsuura,JP,80.94,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
225,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
226,Japura,ID,78.1,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
227,Marataizes,BR,72.36,overcast clouds,-21.0433,-40.8244,Ed. Barra Shopping
230,Hambantota,LK,78.73,overcast clouds,6.1241,81.1185,Bungalow 63
235,Nantucket,US,73.54,broken clouds,41.2835,-70.0995,Jared Coffin House
243,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
245,Keningau,MY,71.6,broken clouds,5.3378,116.1602,Sabindo Hotel
247,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
249,Hasaki,JP,79.29,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
250,Lorengau,PG,79.66,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
255,Newport,GB,78.69,clear sky,51.5877,-2.9984,ibis budget Newport
256,Luwuk,ID,77.34,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
257,Clacton-On-Sea,GB,72.36,clear sky,51.7897,1.156,The Sandrock
261,Isangel,VU,71.96,clear sky,-19.55,169.2667,Tanna Lodge
264,Khash,IR,74.86,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
265,Haapiti,PF,82.13,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
266,Komsomolskiy,UZ,75.92,few clouds,40.4272,71.7189,Ikathouse
268,Tura,IN,73.26,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
270,Qui Nhon,VN,78.28,overcast clouds,13.7667,109.2333,Seagull Hotel
274,Marquette,US,70.77,clear sky,46.5333,-87.6335,Al Quaal Lodge
279,Fortuna,US,70.66,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
280,Novita,CO,79.02,overcast clouds,4.9551,-76.6053,B/ Buenos Aires Sector Las Curvitas
282,Karaton,ID,74.12,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
284,Barcelos,PT,71.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
286,Bandarbeyla,SO,76.21,overcast clouds,9.4942,50.8122,JABIR HOTEL
290,Inongo,CD,74.86,overcast clouds,-1.95,18.2667,Hotel Du Lac
296,Santa Barbara,US,75.76,clear sky,34.7333,-120.0343,Upper Ballard Campground
299,Jiuquan,CN,79.92,clear sky,39.7432,98.5174,Jiuquan Hotel
302,Tandalti,SD,76.17,broken clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
303,Xiangxiang,CN,80.87,broken clouds,27.7333,112.5333,Huatai International Hotel
304,Kirakira,SB,79.25,heavy intensity rain,-10.4544,161.9205,SanBiz Lodge
306,Tautira,PF,77.61,few clouds,-17.7333,-149.15,Pension Oaoa
307,Tucupita,VE,82.02,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
308,Anloga,GH,74.3,overcast clouds,5.7947,0.8973,Pin Drop Hotel
309,Ugep,NG,72.34,heavy intensity rain,5.8086,8.0812,"Don Wills Club, Bar and Lodge/Hotel"
312,Reading,GB,77.38,clear sky,51.4562,-0.9711,The Roseate Reading
315,Qingdao,CN,76.6,mist,36.0986,120.3719,Le Meridien Qingdao
